"Retrigger the Variables, Triggers and Tags Setup if you make changes here","Retrigger the Variables, Triggers and Tags Setup if you make changes here"
"Json was generated successfully. You can download the file by clicking on the Download Json button.","Json was generated successfully. You can download the file by clicking on the Download Json button."
"Account ID must be specified","Account ID must be specified"
"Container ID must be specified","Container ID must be specified"
"Measurement ID must be specified","Measurement ID must be specified"
"Public ID must be specified","Public ID must be specified"
"Conversion ID must be specified","Conversion ID must be specified"
"Conversion Label must be specified","Conversion Label must be specified"
"Conversion Currency Code must be specified","Conversion Currency Code must be specified"
"Remarketing Conversion Code must be specified","Remarketing Conversion Code must be specified"
Advanced,Advanced
"Advanced Search Result","Advanced Search Result"
"Search Result","Search Result"
ID,ID
SKU,SKU
"In the head tag","In the head tag"
"Before body close tag","Before body close tag"
Subtotal,Subtotal
Grandtotal,Grandtotal
Child,Child
Parent,Parent
Purchase,Purchase
Refund,Refund
"Sign Up","Sign Up"
Login,Login
"View Item","View Item"
Search,Search
"Add To Wishlist","Add To Wishlist"
"Add To Cart","Add To Cart"
"Remove From Cart","Remove From Cart"
"View Cart","View Cart"
"Begin Checkout","Begin Checkout"
"Add Payment Info","Add Payment Info"
"Add Shipping Info","Add Shipping Info"
"Api payload:","Api payload:"
"There was an error with the Api call","There was an error with the Api call"
"Purchase event pushed...","Purchase event pushed..."
"Purchase event pushed successfully.","Purchase event pushed successfully."
"Purchase event push error: ","Purchase event push error: "
"Refund event pushed...","Refund event pushed..."
"Refund event pushed successfully.","Refund event pushed successfully."
"Refund event push error: ","Refund event push error: "
"Signup event pushed...","Signup event pushed..."
"Signup event pushed successfully.","Signup event pushed successfully."
"Signup event push error: ","Signup event push error: "
"Login event pushed...","Login event pushed..."
"Login event pushed successfully.","Login event pushed successfully."
"Login event push error: ","Login event push error: "
"View Item event pushed...","View Item event pushed..."
"View Item event pushed successfully.","View Item event pushed successfully."
"View Item event push error: ","View Item event push error: "
"Search event pushed...","Search event pushed..."
"Search event pushed successfully.","Search event pushed successfully."
"Search event push error: ","Search event push error: "
"Add To Cart event pushed...","Add To Cart event pushed..."
"Add To Cart event pushed successfully.","Add To Cart event pushed successfully."
"Add To Cart event push error: ","Add To Cart event push error: "
"Remove From Cart event pushed...","Remove From Cart event pushed..."
"Remove From Cart event pushed successfully.","Remove From Cart event pushed successfully."
"Remove From Cart event push error: ","Remove From Cart event push error: "
"View Cart event pushed...","View Cart event pushed..."
"View Cart event pushed successfully.","View Cart event pushed successfully."
"View Cart event push error: ","View Cart event push error: "
"Begin Checkout event pushed...","Begin Checkout event pushed..."
"Begin Checkout event pushed successfully.","Begin Checkout event pushed successfully."
"Begin Checkout event push error: ","Begin Checkout event push error: "
"Add Payment Info event pushed...","Add Payment Info event pushed..."
"Add Payment Info event pushed successfully.","Add Payment Info event pushed successfully."
"Add Payment Info event push error: ","Add Payment Info event push error: "
"Add Shipping Info event pushed...","Add Shipping Info event pushed..."
"Add Shipping Info event pushed successfully.","Add Shipping Info event pushed successfully."
"Add Shipping Info event push error: ","Add Shipping Info event push error: "
"Add To Wishlist event pushed...","Add To Wishlist event pushed..."
"Add To Wishlist event pushed successfully.","Add To Wishlist event pushed successfully."
"Add To Wishlist event push error: ","Add To Wishlist event push error: "
"Generate Json for Variables, Triggers and Tags","Generate Json for Variables, Triggers and Tags"
"Download Json","Download Json"
"Crossel Products","Crossel Products"
crossel_products,crossel_products
"Related Products From","Related Products From"
